Hypervisor vendor:               KVM
Virtualization type:             full
Driver: , governor: 
Vendor ID: AuthenticAMD
Model name: AMD EPYC 7J13 64-Core Processor
Using timer: clock
Welcome to uarch-bench (509d737)
Supported CPU features: SSE3 PCLMULQDQ SSSE3 FMA CX16 SSE4_1 SSE4_2 MOVBE POPCNT AES AVX RDRND TSC_ADJ BMI1 AVX2 BMI2 RDSEED ADX CLFLUSHOPT CLWB SHA
Pinned to CPU 0
Median CPU speed: 3.241 GHz
Running benchmarks groups using timer clock

** Running group branch/x86/indirect : Indirect branch benchmarks **
                               Benchmark    Cycles     Nanos
       20 uncond jumps by 8 then 8 bytes     20.98      6.47
     20 uncond jumps by 16 then 16 bytes     20.98      6.47
     20 uncond jumps by 32 then 32 bytes     20.98      6.47
     20 uncond jumps by 64 then 64 bytes     20.98      6.47
            20 indirect jumps by 8 bytes    303.64     93.67
           20 indirect jumps by 16 bytes    303.46     93.62
           20 indirect jumps by 32 bytes    302.67     93.37
           20 indirect jumps by 64 bytes    302.67     93.37
                       indirect variable     39.36     12.14
               Load rename/alloc latency     30.84      9.52
                LEA rename/alloc latency     28.98      8.94
Finished in 154 ms (branch/x86/indirect)

** Running group call : Call/ret benchmarks **
                               Benchmark    Cycles     Nanos
                      calls sparsed by 0      4.12      1.27
                      calls sparsed by 1      4.18      1.29
                      calls sparsed by 2      4.12      1.27
                      calls sparsed by 3      4.25      1.31
                      calls sparsed by 4      4.31      1.33
                      calls sparsed by 5      5.00      1.54
                      calls sparsed by 6      6.00      1.85
                      calls sparsed by 7      6.99      2.16
                      calls chained by 0      4.06      1.25
                      calls chained by 1      4.06      1.25
                      calls chained by 2      4.06      1.25
                      calls chained by 3      4.06      1.25
                     calls to pushpop fn      4.12      1.27
                     calls to addrsp0 fn      4.12      1.27
                     calls to addrsp8 fn      4.12      1.27
Finished in 118 ms (call)

** Running group cpp : Tests written in C++ **
                               Benchmark    Cycles     Nanos
Dependent    32b / 64b  inline divisions     12.99      4.01
Independent  32b / 64b  inline divisions      6.99      2.16
Dependent    64b / 64b  inline divisions     16.98      5.24
Independent  64b / 64b  inline divisions      7.99      2.47
Dependent   128b / 64b  inline divisions     14.99      4.62
Independent 128b / 64b  inline divisions      7.00      2.16
                gettimeofday() libc call    119.92     36.99
                               crc8 loop      6.08      1.87
        Sum 16-bit halves of array elems      2.85      0.88
                    Four multiplications      4.05      1.25
                 Chained multiplications      3.04      0.94
       Chained multiplications, 4 chains      1.01      0.31
               Indirect adds from memory      2.03      0.63
       Indirect adds from memory, tricky      2.03      0.63
                 Linked-list w/ sentinel      9.95      3.07
                    Linked-list w/ count      9.99      3.08
Finished in 9527 ms (cpp)

** Running group memory/cpp/store : Strided stores **
                               Benchmark    Cycles     Nanos
 8 bit stores to same location                0.58      0.18
 8 bit stores, stride   1, size    4 KiB      0.58      0.18
 8 bit stores, stride   1, size    8 KiB      0.58      0.18
 8 bit stores, stride   1, size   16 KiB      0.58      0.18
 8 bit stores, stride   1, size   32 KiB      0.58      0.18
 8 bit stores, stride   1, size   64 KiB      0.58      0.18
 8 bit stores, stride   1, size  128 KiB      0.58      0.18
 8 bit stores, stride   1, size  256 KiB      0.58      0.18
 8 bit stores, stride   1, size  512 KiB      0.59      0.18
 8 bit stores, stride   1, size 1024 KiB      0.60      0.18
 8 bit stores, stride   1, size 2048 KiB      0.60      0.18
 8 bit stores, stride   2, size    4 KiB      0.58      0.18
 8 bit stores, stride   2, size    8 KiB      0.58      0.18
 8 bit stores, stride   2, size   16 KiB      0.58      0.18
 8 bit stores, stride   2, size   32 KiB      0.58      0.18
 8 bit stores, stride   2, size   64 KiB      0.59      0.18
 8 bit stores, stride   2, size  128 KiB      0.58      0.18
 8 bit stores, stride   2, size  256 KiB      0.58      0.18
 8 bit stores, stride   2, size  512 KiB      0.59      0.18
 8 bit stores, stride   2, size 1024 KiB      0.60      0.18
 8 bit stores, stride   2, size 2048 KiB      0.60      0.19
 8 bit stores, stride   4, size    4 KiB      0.58      0.18
 8 bit stores, stride   4, size    8 KiB      0.58      0.18
 8 bit stores, stride   4, size   16 KiB      0.58      0.18
 8 bit stores, stride   4, size   32 KiB      0.58      0.18
 8 bit stores, stride   4, size   64 KiB      0.59      0.18
 8 bit stores, stride   4, size  128 KiB      0.59      0.18
 8 bit stores, stride   4, size  256 KiB      0.59      0.18
 8 bit stores, stride   4, size  512 KiB      0.60      0.19
 8 bit stores, stride   4, size 1024 KiB      0.60      0.19
 8 bit stores, stride   4, size 2048 KiB      0.61      0.19
 8 bit stores, stride   8, size    4 KiB      0.58      0.18
 8 bit stores, stride   8, size    8 KiB      0.58      0.18
 8 bit stores, stride   8, size   16 KiB      0.58      0.18
 8 bit stores, stride   8, size   32 KiB      0.59      0.18
 8 bit stores, stride   8, size   64 KiB      0.80      0.25
 8 bit stores, stride   8, size  128 KiB      0.80      0.25
 8 bit stores, stride   8, size  256 KiB      0.80      0.25
 8 bit stores, stride   8, size  512 KiB      0.82      0.25
 8 bit stores, stride   8, size 1024 KiB      0.83      0.26
 8 bit stores, stride   8, size 2048 KiB      0.66      0.20
 8 bit stores, stride  16, size    4 KiB      0.69      0.21
 8 bit stores, stride  16, size    8 KiB      0.69      0.21
 8 bit stores, stride  16, size   16 KiB      0.69      0.21
 8 bit stores, stride  16, size   32 KiB      0.69      0.21
 8 bit stores, stride  16, size   64 KiB      1.21      0.37
 8 bit stores, stride  16, size  128 KiB      1.21      0.37
 8 bit stores, stride  16, size  256 KiB      1.21      0.37
 8 bit stores, stride  16, size  512 KiB      1.24      0.38
 8 bit stores, stride  16, size 1024 KiB      1.24      0.38
 8 bit stores, stride  16, size 2048 KiB      1.23      0.38
